ServiceNo	Direction	BusStopCode	Distance
10	1	75009	0
10	1	76059	0.6
10	1	76069	1.1
10	1	96289	2.3
10	1	96109	2.7
10	1	85079	3.3
10	1	85089	3.5
10	1	85069	3.8
10	1	85059	4.1
10	1	85049	4.5
10	1	85039	4.8
10	1	85029	5
10	1	85019	5.2
10	1	94079	5.4
10	1	94069	5.8
10	1	94059	6.1
10	1	94049	6.5
10	1	94089	6.7
10	1	94039	7
10	1	94029	7.4
10	1	94019	7.6
10	1	93099	8
10	1	93089	8.5
10	1	93079	8.8
10	1	93069	9.1
10	1	93059	9.5
10	1	92159	9.8
10	1	92149	10.1
10	1	92139	10.4
10	1	92129	10.9
10	1	92119	11.4
10	1	92109	11.6
10	1	92099	11.9
10	1	92161	12.4
10	1	82071	12.8
10	1	81199	13.6
10	1	81189	13.9
10	1	81179	14.4
10	1	80141	15
10	1	80219	15.7
10	1	80169	17.1
10	1	80159	17.8
10	1	2119	18.3
10	1	3019	19.3
10	1	3059	19.6
10	1	3129	20
10	1	3217	20.4
10	1	5649	21.3
10	1	14061	21.6
10	1	14071	22.1
10	1	14081	22.5
10	1	14101	22.9
10	1	14141	23.7
10	1	14121	24
10	1	14131	24.4
10	1	14151	24.9
10	1	14161	25.3
10	1	14171	25.7
10	1	15141	26.4
10	1	15151	26.7
10	1	15161	26.9
10	1	15191	27.4
10	1	15201	27.7
10	1	15221	28.3
10	1	16201	28.6
10	1	16011	28.9
10	1	16021	29.4
10	1	16031	29.7
10	1	16041	29.9
10	1	16051	30.2
10	1	16061	30.4
10	1	16071	30.7
10	1	16081	31
10	1	16009	31.5
10	2	16009	0
10	2	16089	0.4
10	2	16079	0.6
10	2	16069	0.9
10	2	16059	1.2
10	2	16049	1.4
10	2	16039	1.6
10	2	16029	1.9
10	2	16019	2.4
10	2	16209	2.6
10	2	15229	2.9
10	2	15219	3.1
10	2	15209	3.5
10	2	15199	3.8
10	2	15169	4.3
10	2	15159	4.5
10	2	15149	4.8
10	2	14189	5.2
10	2	14179	5.5
10	2	14169	5.9
10	2	14159	6.4
10	2	14139	6.8
10	2	14129	7.3
