Id,Label,timeset,modularity_class,pr_indegree,pr_indegree_normalized,pr_domain,pr_proximity,pr_rank,pr_rank_min-max-normalized,isometric_z_value
10009,,,6,0,0,0,0,0,0,0
10017,,,6,0,0,0,0,0,0,0
10049,,,6,0,0,0,0,0,0,0
10059,,,6,0,0,0,0,0,0,0
10069,,,6,0,0,0,0,0,0,0
10079,,,6,0,0,0,0,0,0,0
10081,,,6,0,0,0,0,0,0,0
10089,,,6,0,0,0,0,0,0,0
10101,,,6,0,0,0,0,0,0,0
10111,,,6,0,0,0,0,0,0,0
10131,,,6,0,0,0,0,0,0,0
10141,,,6,0,0,0,0,0,0,0
10149,,,6,0,0,0,0,0,0,0
10151,,,6,0,0,0,0,0,0,0
10161,,,6,0,0,0,0,0,0,0
10169,,,6,0,0,0,0,0,0,0
10179,,,6,0,0,0,0,0,0,0
10181,,,6,0,0,0,0,0,0,0
10191,,,6,0,0,0,0,0,0,0
10201,,,6,0,0,0,0,0,0,0
10211,,,6,0,0,0,0,0,0,0
10249,,,6,0,0,0,0,0,0,0
10269,,,6,0,0,0,0,0,0,0
10279,,,6,0,0,0,0,0,0,0
10289,,,6,0,0,0,0,0,0,0
10299,,,6,0,0,0,0,0,0,0
10321,,,6,0,0,0,0,0,0,0
10331,,,6,0,0,0,0,0,0,0
10339,,,6,0,0,0,0,0,0,0
10341,,,6,0,0,0,0,0,0,0
10351,,,6,0,0,0,0,0,0,0
10369,,,6,0,0,0,0,0,0,0
10371,,,6,0,0,0,0,0,0,0
10379,,,6,0,0,0,0,0,0,0
10429,,,6,0,0,0,0,0,0,0
10439,,,6,0,0,0,0,0,0,0
10449,,,6,0,0,0,0,0,0,0
10659,,,6,0,0,0,0,0,0,0
11021,,,6,0,0,0,0,0,0,0
11031,,,6,0,0,0,0,0,0,0
11041,,,6,0,0,0,0,0,0,0
11051,,,6,0,0,0,0,0,0,0
11061,,,6,0,0,0,0,0,0,0
11071,,,6,0,0,0,0,0,0,0
11081,,,6,0,0,0,0,0,0,0
11091,,,6,0,0,0,0,0,0,0
11101,,,6,0,0,0,0,0,0,0
11111,,,6,0,0,0,0,0,0,0
11161,,,6,0,0,0,0,0,0,0
11171,,,6,0,0,0,0,0,0,0
