source,Target,weight
15209,15169,1
1019,2049,3
67479,67489,3
64479,64489,7
3421,3411,1
56091,57011,6
5241,5022,1
75111,75169,1
19039,11189,1
40099,40089,7
71219,71209,3
48129,48119,3
54011,54031,5
44541,45291,2
77241,77231,6
17009,17221,3
43267,43309,1
31011,31021,2
3111,3071,25
59391,59641,1
49249,49239,1
97119,97129,1
32081,33011,2
7351,7329,3
10017,6011,4
96299,96179,2
60069,60079,2
50038,50029,8
76151,76401,1
54079,54619,2
64471,64351,1
53019,51079,5
60219,3223,1
96219,96241,2
78059,98111,1
21549,21539,2
93089,93079,8
58279,58389,1
93161,93151,1
21439,21429,4
11039,11029,12
43469,43601,1
13109,13099,12
20019,17149,8
17389,17029,6
10291,11541,1
60161,60179,1
22441,22591,7
84369,72011,1
92049,92041,2
54291,54301,10
28659,28649,9
14029,14019,4
70319,70329,2
70089,70099,2
32111,32031,2
46069,46088,11
40181,40041,3
49079,49069,1
46009,46631,6
40129,40189,7
14299,14389,1
64509,64519,1
44501,44621,3
43268,43249,1
7031,7111,10
43469,43479,5
54219,54069,4
95151,95011,8
70181,70191,12
84339,84449,2
52339,52349,1
92061,92301,1
44051,43991,8
67179,67349,1
23129,23119,1
71141,71121,5
1519,1631,1
32059,32049,1
93091,84159,2
7329,7231,3
55009,55231,2
45301,45299,2
21369,22571,1
67469,67279,4
58271,58281,3
43419,43469,4
46831,46841,1
28229,20059,3
65011,67169,2
16049,16101,1
59451,59469,2
77261,77271,7
83179,93109,1
93069,93059,8
42019,41089,16
80051,80119,7
16189,16179,7
63281,63291,6
1013,1113,3
75139,75161,3
75361,75351,7
28249,28239,14
84101,84071,4
16891,17161,1
78141,78131,3
14151,14161,11
45391, N4541,1
66349,54309,8
67011,67021,7
44689,44079,4
81111,82119,4
52269,52501,3
47711,46219,3
43721,43719,1
46969,46659,3
91089,5649,1
27219,27069,1
75351,65191,4
25441,25451,3
64231,64301,1
5013,5129,1
77319,77309,5
10389,10379,2
78261,78271,1
17159,17099,4
52011,52021,3
28699,28689,2
4179,2049,27
59469,68179,1
66529,66509,1
84129,84151,6
22241,22539,1
30041,30051,2
50991,52129,6
10017,5012,4
63049,63039,13
76241,98011,13
65041,65061,3
28169,28159,1
27429,22359,1
63109,63099,7
54539,54101,3
77189,78049,1
44141,44029,5
66491,64619,2
76039,76109,10
40321,40341,2
11531,11131,3
20281,20131,5
57119,59119,7
43611,43181,7
22429,22089,1
10299,10289,5
27469,27461,1
44111,44449,2
96059,96049,3
96291,96209,3
96129,96189,4
43061,43071,12
43261,43811,1
55181,55171,6
10249,13051,2
44571,44561,1
62149,62189,3
96281,75059,3
23379,23519,1
52249,51059,1
59091,59239,1
7331,7231,1
84421,84331,3
42129,42139,3
59231,59101,2
28071,28081,4
48021,48031,2
24599,24489,1
75069,75349,12
67551,67541,3
40081,40091,7
54051,55201,10
22009,22441,5
82049,82029,15
77051,77041,7
43561,43571,1
18129,18109,4
63131,63241,1
21669,21629,1
98239,65191,1
67411,67441,5
63241,63349,4
5629,3222,2
93169,93179,1
84439,84599,1
64441,64461,2
66519,66459,2
47169,47179,2
40259,41159,7
66579,66569,1
44029,44259,1
45271,45321,3
93131,2149,1
59579,59581,1
28019,20109,10
49021,49031,1
15219,15209,7
96221,85099,2
66041,66051,9
98079,98069,7
63061,64011,9
23519,23471,1
8137,8058,3
1619,2089,3
10239,10229,4
71121,71131,5
62119,61049,11
14059,14349,2
65429,65171,1
43129,43099,3
95081,95091,4
75311,74049,1
54581,54571,3
23269,23259,2
43731,43741,1
23461,22091,1
47559,47569,2
28119,43459,1
17371,12201,2
22539,22521,2
10479,10469,2
28069,28059,2
66271,66129,4
43021,43041,9
59551,59541,2
77359,77369,1
96191,96181,2
76131,76141,10
43739,43169,1
43221,43449,1
64101,64491,4
84701,72031,8
55131,55141,6
44459,44521,2
10017,5519,2
11169,11059,5
76371,76471,1
96219,96421,1
50241,7249,1
50011,50021,5
76171,76091,2
53121,53121,1
59059,59039,1
20251,20261,2
96311,96301,1
70191,70371,9
25209,24519,1
53289,53401,2
52279,52259,5
23499,24149,1
28051,28061,3
22009,22501,2
43371,43381,1
9212,9213,2
31029,31019,2
5189,5259,3
21219,21209,1
59019,55279,8
7211,7221,11
11519,18019,5
56049,56191,2
84129,84119,2
67211,65021,2
10121,10071,1
63149,62149,3
17269,17279,1
66059,66111,1
96229,96239,2
65071,65209,1
13071,13081,5
28651,28049,5
78221,78151,1
55129,55119,3
23429,23419,1
70221,70171,1
40171,40181,12
43621,43611,5
50029,50079,3
80071,80091,15
34059,34049,1
44149,44271,4
64129,64119,7
